rule_id,status,event_type,severity,total,attacker,system_or_other,fp_ratio,reason_or_decision
net_portscan_indicator,confirmed-clean,net_close,warning,1026,1022,4,0.0,"KEEP — high-precision signal, no change"
c2_periodic_beacon_pattern,confirmed-clean,tcp_connect,info,709,705,4,0.01,"KEEP — high-precision signal, no change"
net_high_frequency_connections,confirmed-clean,tcp_connect,warning,643,643,0,0.0,"KEEP — high-precision signal, no change"
lateral_tool_transfer_wget,confirmed-clean,tcp_connect,warning,104,104,0,0.0,"KEEP — high-precision signal, no change"
sigma_reverse_shell_named_pipe,confirmed-clean,file,warning,87,84,3,0.03,"KEEP — high-precision signal, no change"
sigma_sensitive_file_chmod,confirmed-noisy,file,critical,3117,241,2876,0.92,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
owasp_web_sensitive_file_read,confirmed-noisy,file,critical,3031,230,2801,0.92,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
appexploit_lfi_passwd_access,confirmed-noisy,file,critical,2999,237,2762,0.92,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
sigma_passwd_shadow_read,confirmed-noisy,file,warning,2999,237,2762,0.92,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
webshell_sensitive_file_read,confirmed-noisy,file,critical,2890,243,2647,0.92,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
appexploit_xxe_file_read,confirmed-noisy,file,warning,2765,281,2484,0.9,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
drift_new_library_in_system_dir,confirmed-noisy,file,warning,2503,89,2414,0.96,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
sensitive_file_read,confirmed-noisy,file,warning,1140,367,773,0.68,3.1 — add comm dimension (Q9) + consolidate: one /etc/passwd read fires 6 rules
netintr_loopback_high_port,confirmed-noisy,tcp_connect,warning,980,972,8,0.01,"KEEP — low FP, real network signal (core detection value)"
drift_new_file_dir_sensitive,confirmed-noisy,file,warning,833,459,374,0.45,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
beacon_fixed_interval,confirmed-noisy,tcp_connect,warning,787,705,82,0.1,"KEEP — low FP, real network signal (core detection value)"
web_internal_recon,confirmed-noisy,tcp_connect,warning,764,686,78,0.1,"KEEP — low FP, real network signal (core detection value)"
webshell_ssrf_internal_network,confirmed-noisy,tcp_connect,warning,764,686,78,0.1,"KEEP — low FP, real network signal (core detection value)"
exfil_repeated_outbound_to_same_ip,confirmed-noisy,tcp_connect,warning,742,694,48,0.06,"KEEP — low FP, real network signal (core detection value)"
sigma_binary_in_tmp_executed,confirmed-noisy,file,warning,658,84,574,0.87,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
privesc_suid_suspicious_path,confirmed-noisy,file,critical,654,84,570,0.87,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
drift_new_exec_critical,confirmed-noisy,file,critical,584,84,500,0.86,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
evasion_hidden_elf_in_tmp,confirmed-noisy,file,warning,207,61,146,0.71,"3.2 — add toolchain/build comm exception (as,cc1,ld,go,compile,vet) + ebpf-guard self"
exfil_db_nonstandard_port_connect,confirmed-noisy,tcp_connect,critical,169,165,4,0.02,"KEEP — low FP, real network signal (core detection value)"
netintr_ssh_non_standard_port,confirmed-noisy,tcp_connect,warning,169,162,7,0.04,"KEEP — low FP, real network signal (core detection value)"
owasp_web_ssrf_outbound,confirmed-noisy,tcp_connect,warning,169,165,4,0.02,"KEEP — low FP, real network signal (core detection value)"
supply_chain_cicd_runner_network,confirmed-noisy,tcp_connect,warning,169,165,4,0.02,"KEEP — low FP, real network signal (core detection value)"
webshell_network_connection_web_proc,confirmed-noisy,tcp_connect,critical,169,165,4,0.02,"KEEP — low FP, real network signal (core detection value)"
webshell_script_write_via_web_process,confirmed-noisy,file,critical,150,88,62,0.41,3.2 — tune: attacker signal present but mixed with daemon/self noise
netintr_syn_scan_pattern,confirmed-noisy,tcp_connect,warning,121,24,97,0.8,3.2 — tune: attacker signal present but mixed with daemon/self noise
initial_package_postinstall_network,confirmed-noisy,tcp_connect,warning,117,24,93,0.79,3.2 — tune: attacker signal present but mixed with daemon/self noise
exfil_large_http_post,confirmed-noisy,tcp_connect,warning,108,56,52,0.48,3.2 — tune: attacker signal present but mixed with daemon/self noise
netintr_http_on_non_web_port,confirmed-noisy,tcp_connect,warning,108,56,52,0.48,3.2 — tune: attacker signal present but mixed with daemon/self noise
fim_passwd_write,confirmed-noisy,file,critical,83,27,56,0.67,"3.2 — legitimate daemon writes (sshd/cron), add comm+path exception"
rootkit_passwd_modified,confirmed-noisy,file,critical,83,27,56,0.67,"3.2 — legitimate daemon writes (sshd/cron), add comm+path exception"
rootkit_hidden_dir_dev,confirmed-noisy,file,critical,64,52,12,0.19,3.2 — tune: attacker signal present but mixed with daemon/self noise
fim_resolv_conf_modified,confirmed-noisy,file,warning,50,41,9,0.18,"3.2 — legitimate daemon writes (sshd/cron), add comm+path exception"
mitre_nsswitch_modified,confirmed-noisy,file,warning,50,41,9,0.18,3.2 — tune: attacker signal present but mixed with daemon/self noise
